"case","event"
"case_66","hostD|remoteAccess"
"case_67","serD|unassigned"
"case_67","vulnD|storage"
"case_67","vulnD|storage"
"case_68","serD|unassigned"
"case_68","vulnD|storage"
"case_68","hostD|http(s)"
"case_68","serD|remoteAccess"
"case_68","vulnD|http(s)"
"case_68","vulnD|http(s)"
"case_68","infoD|http(s)"
"case_68","uPrivEsc|http(s)"
"case_68","rPrivEsc|http(s)"
"case_68","exfil|http(s)"
"case_68","delivery|http(s)"
"case_69","serD|remoteAccess"
"case_69","PAexp|http(s)"
"case_69","remoteexp|http(s)"
"case_69","ACE|http(s)"
"case_69","dManip|http(s)"
"case_70","serD|remoteAccess"
"case_70","vulnD|http(s)"
"case_70","rPrivEsc|http(s)"
"case_70","remoteexp|http(s)"
"case_70","ACE|http(s)"
"case_70","dManip|http(s)"
"case_71","serD|remoteAccess"
"case_71","serD|remoteAccess"
"case_71","surf|http(s)"
"case_71","serD|remoteAccess"
"case_71","vulnD|http(s)"
"case_71","infoD|http(s)"
"case_71","PAexp|http(s)"
"case_71","remoteexp|http(s)"
"case_71","dManip|http(s)"
"case_71","exfil|http(s)"
"case_71","delivery|http(s)"
"case_72","serD|unassigned"
"case_72","vulnD|storage"
"case_72","serD|remoteAccess"
"case_72","vulnD|storage"
"case_72","vulnD|surveillance"
"case_72","uPrivEsc|surveillance"
"case_72","rPrivEsc|surveillance"
"case_73","infoD|surveillance"
"case_73","exfil|surveillance"
"case_73","delivery|surveillance"
"case_74","vulnD|surveillance"
"case_74","remoteexp|surveillance"
"case_74","ACE|surveillance"
"case_75","serD|unassigned"
"case_75","vulnD|storage"
"case_75","hostD|http(s)"
"case_75","infoD|remoteAccess"
"case_75","serD|remoteAccess"
"case_75","vulnD|http(s)"
"case_75","serD|remoteAccess"
"case_75","surf|wireless"
"case_75","vulnD|wireless"
"case_75","infoD|wireless"
"case_75","uPrivEsc|wireless"
"case_75","rPrivEsc|wireless"
"case_75","resHJ|http(s)"
"case_75","exfil|http(s)"
"case_76","serD|remoteAccess"
"case_76","PAexp|wireless"
"case_76","remoteexp|wireless"
"case_76","ACE|http(s)"
"case_76","dManip|http(s)"
"case_76","delivery|wireless"
"case_77","vulnD|hostingServer"
"case_77","serD|remoteAccess"
"case_77","acctManip|wireless"
"case_77","TOexp|http(s)"
"case_77","remoteexp|hostingServer"
"case_77","ACE|http(s)"
"case_77","privEsc|http(s)"
"case_77","dManip|http(s)"
"case_77","exfil|http(s)"
"case_78","serD|remoteAccess"
"case_78","serD|remoteAccess"
"case_78","serD|remoteAccess"
"case_78","serD|remoteAccess"
"case_78","vulnD|hostingServer"
"case_78","infoD|wireless"
"case_78","rPrivEsc|http(s)"
"case_78","TOexp|http(s)"
"case_78","remoteexp|hostingServer"
"case_78","CnC|hostingServer"
"case_78","ACE|http(s)"
"case_78","dManip|wireless"
"case_78","delivery|hostingServer"
"case_79","serD|unassigned"
"case_79","vulnD|storage"
"case_79","hostD|hostingServer"
"case_79","serD|remoteAccess"
"case_79","vulnD|http(s)"
"case_79","surf|http(s)"
"case_79","vulnD|http(s)"
"case_79","infoD|http(s)"
"case_79","uPrivEsc|hostingServer"
"case_79","rPrivEsc|http(s)"
"case_80","serD|remoteAccess"
"case_80","PAexp|http(s)"
"case_80","remoteexp|http(s)"
"case_80","ACE|http(s)"
"case_80","dManip|http(s)"
"case_80","exfil|http(s)"
"case_80","delivery|http(s)"
"case_81","vulnD|http(s)"
"case_81","rPrivEsc|http(s)"
"case_81","remoteexp|http(s)"
"case_81","ACE|http(s)"
"case_81","dManip|http(s)"
"case_82","serD|remoteAccess"
"case_82","serD|remoteAccess"
"case_82","serD|remoteAccess"
"case_82","vulnD|http(s)"
"case_82","infoD|http(s)"
"case_82","TOexp|http(s)"
"case_82","PAexp|http(s)"
"case_82","remoteexp|http(s)"
"case_82","ACE|hostingServer"
"case_82","dManip|http(s)"
"case_82","exfil|http(s)"
"case_82","delivery|http(s)"
"case_83","serD|remoteAccess"
"case_83","serD|remoteAccess"
"case_83","serD|remoteAccess"
"case_84","serD|unassigned"
"case_84","vulnD|storage"
"case_84","vulnD|storage"
"case_85","serD|unassigned"
"case_85","vulnD|storage"
"case_85","bfCred|email"
"case_86","hostD|http(s)"
"case_86","serD|unassigned"
"case_86","vulnD|storage"
"case_86","infoD|remoteAccess"
"case_86","vulnD|storage"
"case_86","infoD|remoteAccess"
"case_86","serD|unassigned"
"case_86","vulnD|http(s)"
"case_86","bfCred|email"
"case_87","surf|http(s)"
"case_87","serD|remoteAccess"
"case_87","vulnD|http(s)"
"case_87","infoD|http(s)"
"case_87","rPrivEsc|http(s)"
"case_87","resHJ|http(s)"
"case_87","exfil|http(s)"
"case_88","acctManip|http(s)"
"case_88","TOexp|http(s)"
"case_88","PAexp|http(s)"
"case_88","remoteexp|http(s)"
"case_88","ACE|http(s)"
"case_88","privEsc|http(s)"
"case_88","dManip|http(s)"
"case_89","hostD|remoteAccess"
"case_89","serD|unassigned"
"case_89","vulnD|storage"
"case_89","infoD|remoteAccess"
"case_89","acctManip|broadcast"
"case_89","netDOS|broadcast"
"case_90","hostD|remoteAccess"
"case_90","serD|remoteAccess"
"case_90","vulnD|storage"
"case_90","infoD|remoteAccess"
"case_90","acctManip|broadcast"
"case_90","netDOS|broadcast"
"case_91","hostD|remoteAccess"
"case_91","serD|remoteAccess"
"case_91","vulnD|storage"
"case_91","infoD|nameserver"
"case_91","acctManip|broadcast"
"case_91","netDOS|broadcast"
"case_92","hostD|remoteAccess"
"case_92","serD|remoteAccess"
"case_92","vulnD|storage"
"case_92","infoD|remoteAccess"
"case_92","acctManip|broadcast"
"case_92","netDOS|broadcast"
"case_93","hostD|remoteAccess"
"case_93","serD|remoteAccess"
"case_93","vulnD|storage"
"case_93","infoD|remoteAccess"
"case_93","acctManip|broadcast"
"case_93","netDOS|broadcast"
"case_94","hostD|remoteAccess"
"case_94","serD|remoteAccess"
"case_94","vulnD|storage"
"case_94","infoD|remoteAccess"
"case_94","acctManip|broadcast"
"case_94","netDOS|broadcast"
"case_95","hostD|remoteAccess"
"case_95","serD|remoteAccess"
"case_95","vulnD|storage"
"case_95","infoD|remoteAccess"
"case_95","acctManip|broadcast"
"case_95","netDOS|broadcast"
"case_96","hostD|remoteAccess"
