"case","event"
"case_67","serD|unassigned->vulnD|storage"
"case_67","vulnD|storage->vulnD|storage"
"case_67","vulnD|storage->end"
"case_68","start->serD|unassigned"
"case_68","serD|unassigned->vulnD|storage"
"case_68","vulnD|storage->hostD|http(s)"
"case_68","hostD|http(s)->serD|remoteAccess"
"case_68","serD|remoteAccess->vulnD|http(s)"
"case_68","vulnD|http(s)->vulnD|http(s)"
"case_68","vulnD|http(s)->infoD|http(s)"
"case_68","infoD|http(s)->uPrivEsc|http(s)"
"case_68","uPrivEsc|http(s)->rPrivEsc|http(s)"
"case_68","rPrivEsc|http(s)->exfil|http(s)"
"case_68","exfil|http(s)->delivery|http(s)"
"case_68","delivery|http(s)->end"
"case_69","start->serD|remoteAccess"
"case_69","serD|remoteAccess->PAexp|http(s)"
"case_69","PAexp|http(s)->remoteexp|http(s)"
"case_69","remoteexp|http(s)->ACE|http(s)"
"case_69","ACE|http(s)->dManip|http(s)"
"case_69","dManip|http(s)->end"
"case_70","start->serD|remoteAccess"
"case_70","serD|remoteAccess->vulnD|http(s)"
"case_70","vulnD|http(s)->rPrivEsc|http(s)"
"case_70","rPrivEsc|http(s)->remoteexp|http(s)"
"case_70","remoteexp|http(s)->ACE|http(s)"
"case_70","ACE|http(s)->dManip|http(s)"
"case_70","dManip|http(s)->end"
"case_71","start->serD|remoteAccess"
"case_71","serD|remoteAccess->serD|remoteAccess"
"case_71","serD|remoteAccess->surf|http(s)"
"case_71","surf|http(s)->serD|remoteAccess"
"case_71","serD|remoteAccess->vulnD|http(s)"
"case_71","vulnD|http(s)->infoD|http(s)"
"case_71","infoD|http(s)->PAexp|http(s)"
"case_71","PAexp|http(s)->remoteexp|http(s)"
"case_71","remoteexp|http(s)->dManip|http(s)"
"case_71","dManip|http(s)->exfil|http(s)"
"case_71","exfil|http(s)->delivery|http(s)"
"case_71","delivery|http(s)->end"
"case_72","start->serD|unassigned"
"case_72","serD|unassigned->vulnD|storage"
"case_72","vulnD|storage->serD|remoteAccess"
"case_72","serD|remoteAccess->vulnD|storage"
"case_72","vulnD|storage->vulnD|surveillance"
"case_72","vulnD|surveillance->uPrivEsc|surveillance"
"case_72","uPrivEsc|surveillance->rPrivEsc|surveillance"
"case_72","rPrivEsc|surveillance->end"
"case_73","start->infoD|surveillance"
"case_73","infoD|surveillance->exfil|surveillance"
"case_73","exfil|surveillance->delivery|surveillance"
"case_73","delivery|surveillance->end"
"case_74","start->vulnD|surveillance"
"case_74","vulnD|surveillance->remoteexp|surveillance"
"case_74","remoteexp|surveillance->ACE|surveillance"
"case_74","ACE|surveillance->end"
"case_75","start->serD|unassigned"
"case_75","serD|unassigned->vulnD|storage"
"case_75","vulnD|storage->hostD|http(s)"
"case_75","hostD|http(s)->infoD|remoteAccess"
"case_75","infoD|remoteAccess->serD|remoteAccess"
"case_75","serD|remoteAccess->vulnD|http(s)"
"case_75","vulnD|http(s)->serD|remoteAccess"
"case_75","serD|remoteAccess->surf|wireless"
"case_75","surf|wireless->vulnD|wireless"
"case_75","vulnD|wireless->infoD|wireless"
"case_75","infoD|wireless->uPrivEsc|wireless"
"case_75","uPrivEsc|wireless->rPrivEsc|wireless"
"case_75","rPrivEsc|wireless->resHJ|http(s)"
"case_75","resHJ|http(s)->exfil|http(s)"
"case_75","exfil|http(s)->end"
"case_76","start->serD|remoteAccess"
"case_76","serD|remoteAccess->PAexp|wireless"
"case_76","PAexp|wireless->remoteexp|wireless"
"case_76","remoteexp|wireless->ACE|http(s)"
"case_76","ACE|http(s)->dManip|http(s)"
"case_76","dManip|http(s)->delivery|wireless"
"case_76","delivery|wireless->end"
"case_77","start->vulnD|hostingServer"
"case_77","vulnD|hostingServer->serD|remoteAccess"
"case_77","serD|remoteAccess->acctManip|wireless"
"case_77","acctManip|wireless->TOexp|http(s)"
"case_77","TOexp|http(s)->remoteexp|hostingServer"
"case_77","remoteexp|hostingServer->ACE|http(s)"
"case_77","ACE|http(s)->privEsc|http(s)"
"case_77","privEsc|http(s)->dManip|http(s)"
"case_77","dManip|http(s)->exfil|http(s)"
