"case","event","index"
106,"acctManip|broadcast",1
106,"infoD|remoteAccess",2
106,"hostD|remoteAccess",3
106,"vulnD|storage",4
107,"netDOS|broadcast",0
107,"acctManip|broadcast",1
107,"infoD|remoteAccess",2
107,"hostD|remoteAccess",3
107,"vulnD|storage",4
108,"netDOS|broadcast",0
108,"acctManip|broadcast",1
108,"infoD|remoteAccess",2
108,"hostD|remoteAccess",3
108,"vulnD|storage",4
109,"CnC|http(s)",0
109,"infoD|http(s)",1
109,"infoD|http(s)",2
110,"hostD|http(s)",0
110,"hostD|http(s)",1
110,"vulnD|storage",2
110,"serD|unassigned",3
110,"vulnD|storage",4
110,"serD|unassigned",5
110,"hostD|http(s)",6
111,"CnC|storage",0
111,"vulnD|storage",1
111,"serD|unassigned",2
111,"hostD|hostingServer",3
111,"vulnD|storage",4
111,"serD|unassigned",5
112,"vulnD|storage",0
112,"serD|unassigned",1
112,"vulnD|storage",2
112,"serD|unassigned",3
113,"exfil|unassigned",0
113,"infoD|unassigned",1
113,"hostD|wireless",2
113,"vulnD|storage",3
113,"serD|unassigned",4
114,"exfil|unassigned",0
114,"infoD|unassigned",1
114,"hostD|wireless",2
114,"vulnD|storage",3
114,"serD|unassigned",4
115,"netDOS|http(s)",0
115,"infoD|http(s)",1
115,"surf|http(s)",2
115,"hostD|unassigned",3
115,"vulnD|storage",4
115,"serD|unassigned",5
115,"hostD|unassigned",6
115,"vulnD|storage",7
115,"serD|unassigned",8
116,"vulnD|storage",0
116,"serD|unassigned",1
116,"vulnD|storage",2
116,"serD|unassigned",3
117,"exfil|unassigned",0
117,"infoD|unassigned",1
117,"vulnD|storage",2
117,"serD|unassigned",3
117,"hostD|surveillance",4
118,"exfil|unassigned",0
118,"hostD|surveillance",1
118,"vulnD|storage",2
118,"serD|unassigned",3
119,"bfCred|email",0
119,"vulnD|storage",1
119,"serD|unassigned",2
120,"bfCred|email",0
120,"vulnD|storage",1
120,"serD|unassigned",2
120,"hostD|http(s)",3
121,"rPrivEsc|email",0
